"Azure Well-Architected Azure Virtual Desktop workload - Jul 7, 2026 - 11:53:35 PM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'0/0',,,
,,,,,
,,,,,
What is Azure Virtual Desktop?,https://learn.microsoft.com/azure/virtual-desktop/overview,,,,
Enterprise-scale support for Microsoft Azure Virtual Desktop,https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/wvd/enterprise-scale-landing-zone,,,,
Deliver remote desktops and apps with Azure Virtual Desktop,https://learn.microsoft.com/training/paths/m365-wvd/,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,We've evaluated our workload's reliability and resiliency and its ability to recover from failures.,,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"For maximum security, we apply the principle of Zero Trust.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"We estimate, rationalize, and monitor the overall cost of our workload.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"We've set up monitoring, we've automated build and release processes, and we've established clear roles for our Azure Virtual Desktop team to take on for governing and managing our workload.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"We've enabled horizontal scaling, and we've run tests to evaluate load.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,None of the above,,,
Azure Virtual Desktop - Application delivery,Have you considered how different types of host pools affect the cost and reliability of Azure Virtual Desktop?,We use a personal pool to give our users power to personalize their environment and work freely within a virtual machine (VM).,,,
Azure Virtual Desktop - Application delivery,Have you considered how different types of host pools affect the cost and reliability of Azure Virtual Desktop?,We use a pooled host pool to streamline our reliability solution and minimize costs.,,,
Azure Virtual Desktop - Application delivery,Have you considered how different types of host pools affect the cost and reliability of Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?",We use breadth-first load balancing to quickly improve our user experience.,,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?",We use depth-first load balancing to reduce costs.,,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?","For scale-down scenarios, we use depth-first load balancing.",,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?",None of the above,,,
Azure Virtual Desktop - Application delivery,Do you use Azure Virtual Desktop scaling plans for session hosts?,We use scaling plans to help maximize cost efficiency by automatically turning hosts off and on.,,,
Azure Virtual Desktop - Application delivery,Do you use Azure Virtual Desktop scaling plans for session hosts?,We adjust the settings of our scaling plans to improve cost efficiency.,,,
